wals_code	name	latitude	longitude	genus	family	countrycodes	features
maa	Maasai	-3.0	36.0	Nilotic	Eastern Sudanic	US	absence_of_common_consonants=1 All present|coding_of_nominal_plurality=2 -|comparative_constructions=1 Locational|consonant-vowel_ratio=2 Moderately low|consonant_inventories=3 Average|definite_articles=5 No definite or indefinite article|exponence_of_selected_inflectional_formatives=1 Monoexponential case|exponence_of_tense-aspect-mood_inflection=1 -|expression_of_pronominal_subjects=2 -|front_rounded_vowels=1 -|fusion_of_selected_inflectional_formatives=5 Tonal/concatenative|glottalized_consonants=3 Implosives only|indefinite_articles=5 -|inflectional_synthesis_of_the_verb=4 6-7 categories per word|lateral_consonants=2 -|m-t_pronouns=1 -|m_in_first_person_singular=1 No m in first person singular|m_in_second_person_singular=1 No m in second person singular|minor_morphological_means_of_signaling_negation=4 None|n-m_pronouns=1 No N-M pronouns|negative_morphemes=2 Negative particle|nominal_and_locational_predication=1 Different|nonperiphrastic_causative_constructions=2 Morphological but no compound|noun_phrase_conjunction=1 -|number_of_possessive_nouns=1 -|numeral_classifiers=1 Absent|obligatory_possessive_inflection=2 Absent|order_of_adjective_and_noun=2 -|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|order_of_degree_word_and_adjective=1 -|order_of_demonstrative_and_noun=2 -|order_of_genitive_and_noun=2 Noun-Genitive|order_of_negative_morpheme_and_verb=7 Type 1 / Type 3|order_of_numeral_and_noun=2 Noun-Numeral|order_of_object_and_verb=2 VO|order_of_relative_clause_and_noun=1 -|order_of_subject,_object_and_verb=3 VSO|order_of_subject_and_verb=2 VS|periphrastic_causative_constructions=2 Purposive but no sequential|polar_questions=1 Question particle|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=16 More than one position|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|position_of_polar_question_particles=2 -|position_of_tense-aspect_affixes=4 Mixed type|possessive_classification=2 Two classes|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|postverbal_negative_morphemes=4 None|predicative_adjectives=1 -|predicative_possession=5 'Have'|prefixing_vs._suffixing_in_inflectional_morphology=2 -|presence_of_uncommon_consonants=1 -|preverbal_negative_morphemes=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relativization_on_obliques=4 Gap|relativization_on_subjects=4 -|subtypes_of_asymmetric_standard_negation=1 A/Fin|syllable_structure=2 -|symmetric_and_asymmetric_standard_negation=3 Both|the_position_of_negative_morphemes_in_verb-initial_languages=12 NegVSO/[Neg-V]SO|tone=2 Simple tone system|uvular_consonants=1 None|verb-initial_with_clause-final_negative=4 No clause-final neg|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=6 None|verb-initial_with_preverbal_negative=7 Type 1 / Type 2|voicing_and_gaps_in_plosive_systems=1 Other|voicing_in_plosives_and_fricatives=4 -|vowel_quality_inventories=3 Large (7-14)|zero_copula_for_predicate_nominals=1 Impossible
mag	Magar	28.0	83.0	Mahakiranti	Sino-Tibetan	US	coding_of_nominal_plurality=2 Plural suffix|minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=2 -|negsov_order=4 No NegSOV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_adverbial_subordinator_and_clause=1 -|order_of_genitive_and_noun=1 -|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=1 -|order_of_object_and_verb=2 -|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 -|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=2 -|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 -|position_of_tense-aspect_affixes=2 -|postverbal_negative_morphemes=4 -|preverbal_negative_morphemes=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 -|snegov_order=4 -|sonegv_order=8 -|sovneg_order=11 -|the_associative_plural=1 -|the_position_of_negative_morphemes_in_sov_languages=6 -
mam	Mam	15.0	-91.8333333333	Mayan	Mayan	US	'want'_complement_subjects=2 Subject is expressed overtly|antipassive_constructions=2 Oblique patient|coding_of_evidentiality=2 Verbal affix or clitic|coding_of_nominal_plurality=8 Plural clitic|definite_articles=4 No definite, but indefinite article|distance_contrasts_in_demonstratives=1 No distance contrast|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|fixed_stress_locations=1 No fixed stress|imperative-hortative_systems=4 Neither type of system|indefinite_articles=2 Indefinite word same as 'one'|minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=2 Negative particle|nominal_and_locational_predication=1 Different|nominal_and_verbal_conjunction=1 Identity|occurrence_of_nominal_plurality=4 All nouns, always optional|order_of_adjective_and_noun=3 No dominant order|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_genitive_and_noun=2 Noun-Genitive|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=1 Numeral-Noun|order_of_object,_oblique,_and_verb=1 VOX|order_of_object_and_verb=2 VO|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_subject,_object_and_verb=3 VSO|order_of_subject_and_verb=2 VS|ordinal_numerals=6 First, two-th, three-th|polar_questions=1 Question particle|position_of_case_affixes=9 No case affixes or adpositional clitics|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=9 NegVSO|position_of_polar_question_particles=3 Second position|position_of_pronominal_possessive_affixes=1 Possessive prefixes|position_of_tense-aspect_affixes=1 Tense-aspect prefixes|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|postverbal_negative_morphemes=4 None|predicative_adjectives=1 Verbal encoding|prefixing_vs._suffixing_in_inflectional_morphology=5 Weakly prefixing|preverbal_negative_morphemes=1 -|productivity_of_the_antipassive_construction=1 productive|pronominal_and_adnominal_demonstratives=2 Different stem|reciprocal_constructions=1 No reciprocals|reduplication=3 No productive reduplication|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|semantic_distinctions_of_evidentiality=2 Indirect only|subtypes_of_asymmetric_standard_negation=5 A/Fin and A/Cat|symmetric_and_asymmetric_standard_negation=3 Both|the_morphological_imperative=1 Second singular and second plural|the_optative=2 Inflectional optative absent|the_position_of_negative_morphemes_in_verb-initial_languages=1 NegVSO|the_prohibitive=2 Normal imperative + special negative|verb-initial_with_clause-final_negative=4 No clause-final neg|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=6 -|verb-initial_with_preverbal_negative=1 Separate word, no double negation	Position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=?|weight-sensitive_stress=6 Combined: Right-edge and unbounded|weight_factors_in_weight-sensitive_stress_systems=7 Combined|zero_copula_for_predicate_nominals=1 Impossible
mbb	Mbabaram	-17.1666666667	145.0	Northern Pama-Nyungan	Pama-Nyungan	US	absence_of_common_consonants=1 -|consonant-vowel_ratio=3 -|consonant_inventories=3 -|ditransitive_constructions:_the_verb_'give'=1 -|fixed_stress_locations=1 -|front_rounded_vowels=1 None|glottalized_consonants=1 -|hand_and_arm=2 -|inclusive/exclusive_forms_in_pama-nyungan=2 -|lateral_consonants=2 -|presence_of_uncommon_consonants=1 -|syllable_structure=2 -|the_morphological_imperative=1 -|the_prohibitive=2 -|tone=1 -|uvular_consonants=1 None|voicing_and_gaps_in_plosive_systems=2 -|voicing_in_plosives_and_fricatives=4 -|vowel_quality_inventories=1 Small (2-4)|weight-sensitive_stress=8 -|weight_factors_in_weight-sensitive_stress_systems=1 -
mny	Margany	-27.0	144.5	Northern Pama-Nyungan	Pama-Nyungan	US	coding_of_evidentiality=1 -|coding_of_nominal_plurality=2 Plural suffix|expression_of_pronominal_subjects=1 Obligatory pronouns in subject position|fixed_stress_locations=2 Initial|hand_and_arm=2 -|inclusive/exclusive_forms_in_pama-nyungan=1 No inclusive/exclusive opposition|minor_morphological_means_of_signaling_negation=4 None|negative_morphemes=2 Negative particle|negsov_order=1 NoDoubleNeg|nonperiphrastic_causative_constructions=2 Morphological but no compound|number_of_genders=1 -|order_of_genitive_and_noun=1 -|order_of_negative_morpheme_and_verb=1 NegV|order_of_object_and_verb=1 OV|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|plurality_in_independent_personal_pronouns=4 Person-number stem|polar_questions=1 Question particle|position_of_case_affixes=1 Case suffixes|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=5 NegSOV|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=1 Beginning, not immed preverbal|position_of_polar_question_particles=1 Initial|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|postverbal_negative_morphemes=4 -|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|preverbal_negative_morphemes=1 NegV|reduplication=1 -|rhythm_types=1 Trochaic|semantic_distinctions_of_evidentiality=2 -|sex-based_and_non-sex-based_gender_systems=1 No gender|snegov_order=4 -|sonegv_order=8 No SONegV|sovneg_order=11 -|systems_of_gender_assignment=1 No gender|the_position_of_negative_morphemes_in_sov_languages=1 NegSOV|weight-sensitive_stress=8 -|weight_factors_in_weight-sensitive_stress_systems=1 No weight
mop	Mopan	16.5833333333	-88.6666666667	Mayan	Mayan	US	finger_and_hand=2 -|hand_and_arm=2 -|imperative-hortative_systems=4 Neither type of system|the_morphological_imperative=1 Second singular and second plural|the_optative=2 -
mug	Mugil	-4.88333333333	145.75	Madang	Trans-New Guinea	US	minor_morphological_means_of_signaling_negation=4 None|negative_morphemes=2 -|order_of_negative_morpheme_and_verb=1 -|position_of_pronominal_possessive_affixes=2 -|position_of_tense-aspect_affixes=4 Mixed type|postverbal_negative_morphemes=4 -|preverbal_negative_morphemes=2 [Neg-V]
myy	Mayi-Yapi	-20.0	141.0	Northern Pama-Nyungan	Pama-Nyungan	US	fixed_stress_locations=2 Initial|rhythm_types=1 Trochaic|weight-sensitive_stress=8 -|weight_factors_in_weight-sensitive_stress_systems=1 No weight
nan	Nandi	0.25	35.0	Nilotic	Eastern Sudanic	US	absence_of_common_consonants=1 All present|adjectives_without_nouns=5 Marked by preceding word|alignment_of_verbal_person_marking=2 Accusative|coding_of_nominal_plurality=2 Plural suffix|comitatives_and_instrumentals=2 Differentiation|comparative_constructions=2 Exceed|consonant-vowel_ratio=1 Low|consonant_inventories=1 Small|definite_articles=3 Definite affix|distance_contrasts_in_demonstratives=3 Three-way contrast|exponence_of_selected_inflectional_formatives=1 Monoexponential case|exponence_of_tense-aspect-mood_inflection=1 -|expression_of_pronominal_subjects=2 Subject affixes on verb|front_rounded_vowels=1 None|fusion_of_selected_inflectional_formatives=5 Tonal/concatenative|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|genitives,_adjectives_and_relative_clauses=4 Adjectives and relative clauses collapsed|glottalized_consonants=1 No glottalized consonants|imperative-hortative_systems=1 Maximal system|inflectional_synthesis_of_the_verb=3 4-5 categories per word|lateral_consonants=2 /l/, no obstruent laterals|minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=1 Negative affix|number_of_possessive_nouns=1 None reported|obligatory_possessive_inflection=2 Absent|order_of_adjective_and_noun=2 Noun-Adjective|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|order_of_demonstrative_and_noun=4 Demonstrative suffix|order_of_genitive_and_noun=2 Noun-Genitive|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=2 Noun-Numeral|order_of_object,_oblique,_and_verb=1 VOX|order_of_object_and_verb=2 VO|order_of_person_markers_on_the_verb=2 A precedes P|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_subject,_object_and_verb=3 VSO|order_of_subject_and_verb=2 VS|ordinal_numerals=6 First, two-th, three-th|passive_constructions=2 Absent|person_marking_on_adpositions=2 No person marking|polar_questions=1 Question particle|position_of_case_affixes=3 Case tone|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|position_of_polar_question_particles=2 Final|position_of_pronominal_possessive_affixes=2 Possessive suffixes|position_of_tense-aspect_affixes=4 Mixed type|possessive_classification=1 No possessive classification|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|postverbal_negative_morphemes=4 None|prefixing_vs._suffixing_in_inflectional_morphology=4 Equal prefixing and suffixing|presence_of_uncommon_consonants=1 None|pronominal_and_adnominal_demonstratives=2 Different stem|reduplication=1 Productive full and partial reduplication|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 VO and NAdj|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 VO and NRel|relativization_on_subjects=4 Gap|syllable_structure=2 Moderately complex|the_morphological_imperative=1 Second singular and second plural|the_optative=2 Inflectional optative absent|the_position_of_negative_morphemes_in_verb-initial_languages=1 -|third_person_zero_of_verbal_person_marking=5 Zero in all 3rd person forms|tone=2 Simple tone system|utterance_complement_clauses=1 Balanced|uvular_consonants=1 None|verb-initial_with_clause-final_negative=4 No clause-final neg|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=6 -|verb-initial_with_preverbal_negative=2 Prefix, no double negation	Preverbal_Negative_Morphemes=2 [Neg-V]|verbal_person_marking=5 Both the A and P arguments|voicing_and_gaps_in_plosive_systems=1 Other|voicing_in_plosives_and_fricatives=1 No voicing contrast|vowel_quality_inventories=3 Large (7-14)
new	Newari (Kathmandu)	27.6666666667	85.5	Mahakiranti	Sino-Tibetan	US	absence_of_common_consonants=1 -|coding_of_nominal_plurality=8 Plural clitic|consonant-vowel_ratio=4 Moderately high|consonant_inventories=3 Average|front_rounded_vowels=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|minor_morphological_means_of_signaling_negation=4 None|negative_morphemes=2 -|negsov_order=4 No NegSOV|numeral_classifiers=1 -|occurrence_of_nominal_plurality=6 -|order_of_adjective_and_noun=2 -|order_of_adposition_and_noun_phrase=2 -|order_of_adverbial_subordinator_and_clause=1 -|order_of_degree_word_and_adjective=1 -|order_of_demonstrative_and_noun=2 -|order_of_genitive_and_noun=1 -|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=1 -|order_of_object_and_verb=1 OV|order_of_relative_clause_and_noun=2 Relative clause-Noun|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 -|polar_questions=1 Question particle|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|position_of_polar_question_particles=2 -|position_of_pronominal_possessive_affixes=2 -|position_of_tense-aspect_affixes=2 -|postverbal_negative_morphemes=4 None|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|prenominal_relative_clauses=1 -|presence_of_uncommon_consonants=1 -|preverbal_negative_morphemes=2 [Neg-V]|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 -|snegov_order=4 No SNegOV|sonegv_order=2 Prefix&NoDoubleNeg|sovneg_order=11 -|syllable_structure=2 Moderately complex|tea=1 Words derived from Sinitic cha|the_associative_plural=1 Associative same as additive plural|the_optative=2 Inflectional optative absent|the_position_of_negative_morphemes_in_sov_languages=6 -|tone=1 -|uvular_consonants=1 -|voicing_and_gaps_in_plosive_systems=2 None missing in /p t k b d g/|voicing_in_plosives_and_fricatives=4 -|vowel_quality_inventories=2 -
ngw	Ngawun	-19.0	141.5	Northern Pama-Nyungan	Pama-Nyungan	US	hand_and_arm=2 -|inclusive/exclusive_forms_in_pama-nyungan=2 -|minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=2 -|negsvo_order=4 -|order_of_adjective_and_noun=2 -|order_of_demonstrative_and_noun=2 -|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=1 -|order_of_object_and_verb=2 -|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 -|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=2 -|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 -|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 -|position_of_tense-aspect_affixes=2 -|postverbal_negative_morphemes=4 -|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|preverbal_negative_morphemes=1 -|reduplication=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|snegvo_order=1 -|svnego_order=7 -|svoneg_order=4 No SVONeg|the_position_of_negative_morphemes_in_svo_languages=1 NegSVO
nnd	Nend	-5.0	144.916666667	Madang	Trans-New Guinea	US	expression_of_pronominal_subjects=2 -|order_of_adjective_and_noun=2 -|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_degree_word_and_adjective=2 Adjective-Degree word|order_of_demonstrative_and_noun=2 -|order_of_genitive_and_noun=3 No dominant order|order_of_object_and_verb=2 -|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 -|polar_questions=1 -|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_polar_question_particles=6 No question particle|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 -
nue	Nuer	8.33333333333	32.0	Nilotic	Eastern Sudanic	US	coding_of_nominal_plurality=3 Plural stem change|comparative_constructions=1 -|expression_of_pronominal_subjects=2 -|languages_with_different_word_order_in_negative_clauses=17 SVO/SOV, but SOVNeg|languages_with_two_dominant_orders_of_subject,_object,_and_verb=1 SOV or SVO|minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=2 -|negsov_order=4 -|nominal_and_locational_predication=1 Different|noun_phrase_conjunction=2 'And' identical to 'with'|order_of_adjective_and_noun=2 -|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_adverbial_subordinator_and_clause=1 -|order_of_demonstrative_and_noun=2 -|order_of_genitive_and_noun=1 -|order_of_negative_morpheme_and_verb=1 NegV|order_of_numeral_and_noun=2 Noun-Numeral|order_of_object,_oblique,_and_verb=1 -|order_of_object_and_verb=2 -|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_subject,_object_and_verb=7 No dominant order|order_of_subject_and_verb=1 -|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 -|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=1 Beginning, not immed preverbal|position_of_pronominal_possessive_affixes=2 Possessive suffixes|position_of_tense-aspect_affixes=2 -|postnominal_relative_clauses=1 -|postverbal_negative_morphemes=4 None|predicative_adjectives=1 -|predicative_possession=5 -|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|preverbal_negative_morphemes=1 NegV|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 -|snegov_order=4 -|sonegv_order=8 -|sovneg_order=11 NoSOVNeg|the_position_of_negative_morphemes_in_sov_languages=6 -|zero_copula_for_predicate_nominals=1 Impossible
nwd	Newar (Dolakha)	27.3333333333	86.0	Mahakiranti	Sino-Tibetan	US	coding_of_evidentiality=1 -|coding_of_nominal_plurality=2 -|comitatives_and_instrumentals=2 -|definite_articles=1 -|ditransitive_constructions:_the_verb_'give'=1 -|expression_of_pronominal_subjects=2 Subject affixes on verb|indefinite_articles=5 -|indefinite_pronouns=1 -|minor_morphological_means_of_signaling_negation=4 -|multiple_negative_constructions_in_sov_languages=7 SO[Neg-V]/SOVwithNegInfix|negative_indefinite_pronouns_and_predicate_negation=1 Predicate negation also present|negative_morphemes=2 -|negsov_order=4 -|nominal_and_verbal_conjunction=1 -|order_of_adjective_and_noun=2 -|order_of_adposition_and_noun_phrase=2 -|order_of_adverbial_subordinator_and_clause=1 -|order_of_degree_word_and_adjective=1 -|order_of_demonstrative_and_noun=2 -|order_of_genitive_and_noun=1 -|order_of_negative_morpheme_and_verb=12 Type 3 / Negative Infix|order_of_numeral_and_noun=1 -|order_of_object_and_verb=2 -|order_of_relative_clause_and_noun=1 -|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 -|polar_questions=1 Question particle|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=2 -|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|position_of_polar_question_particles=2 -|position_of_pronominal_possessive_affixes=2 -|position_of_tense-aspect_affixes=2 -|postverbal_negative_morphemes=4 None|prefixing_vs._suffixing_in_inflectional_morphology=2 -|prenominal_relative_clauses=1 -|preverbal_negative_morphemes=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 -|semantic_distinctions_of_evidentiality=2 -|snegov_order=4 -|sonegv_order=8 -|sovneg_order=11 -|the_associative_plural=1 -|the_position_of_negative_morphemes_in_sov_languages=6 -
nya	Nyawaygi	-19.0	146.166666667	Northern Pama-Nyungan	Pama-Nyungan	US	coding_of_evidentiality=1 No grammatical evidentials|comitatives_and_instrumentals=2 Differentiation|expression_of_pronominal_subjects=2 -|finger_and_hand=2 -|fixed_stress_locations=1 No fixed stress|hand_and_arm=2 -|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated|order_of_object_and_verb=2 -|order_of_subject_and_verb=1 -|position_of_case_affixes=1 Case suffixes|rhythm_types=1 -|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|the_morphological_imperative=4 Second person number-neutral|the_prohibitive=2 Normal imperative + special negative|weight-sensitive_stress=1 Left-edge: First or second|weight_factors_in_weight-sensitive_stress_systems=1 -
par	Päri	5.0	32.5	Nilotic	Eastern Sudanic	US	alignment_of_verbal_person_marking=3 Ergative|antipassive_constructions=2 Oblique patient|applicative_constructions=1 Benefactive object; both bases|coding_of_nominal_plurality=6 Mixed morphological plural|definite_articles=1 -|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|minor_morphological_means_of_signaling_negation=4 None|negative_morphemes=2 Negative particle|order_of_adjective_and_noun=2 -|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_adverbial_subordinator_and_clause=1 -|order_of_degree_word_and_adjective=3 No dominant order|order_of_genitive_and_noun=2 Noun-Genitive|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=2 Noun-Numeral|order_of_object,_oblique,_and_verb=1 -|order_of_object_and_verb=1 OV|order_of_person_markers_on_the_verb=3 P precedes A|order_of_relative_clause_and_noun=1 -|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 -|other_roles_of_applied_objects=4 No other roles (EQUALS Only benefactive)|passive_constructions=1 Present|person_marking_on_adpositions=2 -|polar_questions=6 Interrogative intonation only|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|position_of_polar_question_particles=2 -|position_of_pronominal_possessive_affixes=2 Possessive suffixes|position_of_tense-aspect_affixes=2 -|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|postverbal_negative_morphemes=4 None|prefixing_vs._suffixing_in_inflectional_morphology=2 -|preverbal_negative_morphemes=1 NegV|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=2 OV and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=2 OV and NRel|the_position_of_negative_morphemes_in_object-initial_languages=4 -|third_person_zero_of_verbal_person_marking=2 No zero realization|verbal_person_marking=5 Both the A and P arguments
pkm	Pokomchí	15.4166666667	-90.5	Mayan	Mayan	US	fixed_stress_locations=7 Ultimate|rhythm_types=5 No rhythmic stress|weight-sensitive_stress=8 -|weight_factors_in_weight-sensitive_stress_systems=1 No weight
pkt	Pokot	1.5	35.5	Nilotic	Eastern Sudanic	US	coding_of_nominal_plurality=2 -|definite_articles=1 -|double_negation_in_verb-initial_languages=10 NegVSO/[Neg-V-Neg]SO|expression_of_pronominal_subjects=2 Subject affixes on verb|minor_morphological_means_of_signaling_negation=4 None|negative_morphemes=2 -|optional_double_negation=2 -|order_of_adjective_and_noun=2 Noun-Adjective|order_of_adposition_and_noun_phrase=2 -|order_of_adverbial_subordinator_and_clause=1 -|order_of_demonstrative_and_noun=2 -|order_of_genitive_and_noun=1 -|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=1 -|order_of_object,_oblique,_and_verb=1 -|order_of_object_and_verb=2 -|order_of_relative_clause_and_noun=1 -|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 -|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=2 -|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 -|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 -|position_of_pronominal_possessive_affixes=2 -|position_of_tense-aspect_affixes=4 Mixed type|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|postverbal_negative_morphemes=2 [V-Neg]|prefixing_vs._suffixing_in_inflectional_morphology=2 -|preverbal_negative_morphemes=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 VO and Prepositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 -|the_position_of_negative_morphemes_in_verb-initial_languages=23 OptDoubleNeg|verb-initial_with_clause-final_negative=4 -|verb-initial_with_negative_that_is_immediately_postverbal_or_between_subject_and_object=4 Suffix&OnlyWithAnotherNeg|verb-initial_with_preverbal_negative=8 Type 3 / Type 6
qch	Quiché	15.0	-91.4166666667	Mayan	Mayan	US	action_nominal_constructions=8 -|comitatives_and_instrumentals=2 Differentiation|finger_and_hand=2 Different|fixed_stress_locations=1 -|hand_and_arm=1 Identical|weight-sensitive_stress=8 -|weight_factors_in_weight-sensitive_stress_systems=1 No weight
