,obj_V_N,obj_V_P,nsubj_V_N,nsubj_V_P,case_N_D,case_PN_D,amod_N_A,nmod_N_N,nmod_N_PN,aux_V_A,adv_V_D,adv_J_D,cop_N_C,cop_J_C,obl_V_N,xcomp_V_V,ccomp_V_V,nsubj_J_N
latv1249,0.19217207334273625,0.8341708542713567,0.6001744693224774,0.9901442307692307,0.9867461895294898,0.9933884297520661,0.999431225708598,0.8360586411051593,0.8885770418186921,0.9929187192118226,0.8386055519690123,0.9877126654064272,0.8836545324768023,0.9153976311336718,0.5183536329273415,0.07371392722710163,0.1379410906969962,0.7584745762711864
lith1251,0.14925373134328357,0.71875,0.6482213438735178,0.9656357388316151,0.9947871416159861,1.0,0.9934006211180124,0.8769095697980684,0.8447937131630648,,0.8469217970049917,0.986784140969163,0.9727272727272728,0.9431818181818182,0.43383199079401613,0.029780564263322883,0.03015075376884422,0.7861635220125787
malt1254,0.03513909224011713,0.28378378378378377,0.6960950764006791,0.7881773399014779,0.9985556090515166,1.0,0.20435684647302904,0.0030581039755351682,0.0,1.0,0.6532567049808429,0.8586956521739131,0.984375,0.9795918367346939,0.25344644750795337,0.0,0.009708737864077669,0.8771929824561403
mara1378,0.993421052631579,0.8823529411764706,0.9882352941176471,0.9862068965517241,0.0,0.0,1.0,1.0,,0.08641975308641975,0.9775280898876404,1.0,0.045454545454545456,0.0,0.9906542056074766,0.9473684210526315,0.45454545454545453,1.0
nort2671,0.11012658227848102,0.4438202247191011,0.6627634660421545,0.9733502538071066,0.13736263736263737,0.07142857142857142,1.0,0.9845559845559846,0.9473684210526315,0.9886792452830189,0.4904051172707889,0.9107142857142857,0.941747572815534,0.9158878504672897,0.24785510009532888,,0.0625,0.9230769230769231
west2369,0.9969488444559854,0.9890818858560794,0.9983704508419338,0.9991682838924314,0.7938271370883652,0.8587250135062129,0.04609856262833675,0.0315919995687099,0.013900380605659441,0.5057291666666667,0.993046933200894,0.9803600654664485,0.002328830926874709,0.0,0.986961768254996,0.98,0.006190476190476191,0.981404958677686
poli1260,0.10559088500264971,0.47214076246334313,0.7177,0.774386197743862,0.9975172529877125,1.0,0.6164540760030013,0.013722424874066354,0.0038593481989708405,0.2492743105950653,0.7109149855907781,0.8358298382264829,0.8390207715133531,0.8557377049180328,0.26389804438584924,0.015028177833437696,0.007561436672967864,0.7932551319648093
port1283,0.004651964162646451,0.6063829787234043,0.8412451361867704,0.9510357815442562,1.0,1.0,0.3034956852420652,0.013151769087523277,0.0079002079002079,0.9987460815047022,0.670049369171695,0.9666221628838452,0.9939320388349514,0.9768041237113402,0.21962708537782138,0.0022484541877459247,0.0800942285041225,0.8184523809523809
russ1263,0.08400214018191546,0.48554913294797686,0.6694653115333628,0.9664179104477612,0.999694516572476,1.0,0.9856837035054857,0.020217491193138305,0.011035653650254669,0.9550827423167849,0.816468253968254,0.9806763285024155,0.8,0.8947368421052632,0.37237643872714965,0.03546099290780142,0.030303030303030304,0.8659217877094972
slov1268,0.19641185647425896,0.8913043478260869,0.6535348084187803,0.8792079207920792,0.9998043180483986,1.0,0.9828638497652582,0.014992245390315354,0.011555922410235245,0.9310105336265772,0.7967553773240977,0.9682179341657208,0.9019607843137255,0.9191736136281261,0.4222811671087533,0.02464788732394366,0.07823960880195599,0.7832219747587231
swed1254,0.027155172413793102,0.21603563474387527,0.7695209354960393,0.8631297369594293,0.9959903769045709,1.0,0.9975868725868726,0.29642485248177713,0.48559670781893005,0.9993638676844784,0.5333333333333333,0.9523809523809523,0.9078651685393259,0.9420062695924765,0.2096822995461422,0.0,0.01195219123505976,0.930379746835443
tami1289,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9917355371900827,0.9978813559322034,0.0,0.9895833333333334,1.0,,,1.0,1.0,0.9886363636363636,1.0
telu1262,0.9912280701754386,1.0,0.9947643979057592,1.0,0.0,0.0,1.0,0.975,,,0.9545454545454546,,,,0.989010989010989,0.6666666666666666,0.9818181818181818,
nucl1301,0.9837981407702523,0.9304029304029304,0.9710675091453276,0.9716981132075472,0.0011961722488038277,0.009523809523809525,0.9994500962331592,0.9902411021814007,0.9969897652016857,0.014705882352941176,0.9484088717454194,0.9835255354200988,0.0037313432835820895,0.0,0.978629579375848,1.0,0.9773539928486293,0.9779735682819384
ukra1253,0.16058631921824104,0.5255555555555556,0.6549459041731066,0.939016393442623,0.9993964996982498,1.0,0.9537790697674419,0.006089438629876308,0.007155635062611807,0.7150537634408602,0.7779354380986165,0.8829568788501027,0.7878787878787878,0.90625,0.3101053103293749,0.04101838755304102,0.02710843373493976,0.788659793814433
viet1252,0.0035310734463276836,0.0,0.9956188389923329,1.0,0.991389913899139,1.0,0.11547911547911548,0.025073746312684365,0.0,0.9833333333333333,0.812375249500998,0.8105263157894737,0.9922480620155039,0.9,0.35526315789473684,0.004016064257028112,0.0,1.0
wels1247,0.011363636363636364,0.8235294117647058,0.009505703422053232,0.10774410774410774,0.9983967935871744,1.0,0.13073929961089495,0.005074424898511502,0.0,,0.49214659685863876,0.5428571428571428,0.8292682926829268,0.9626168224299065,0.2584856396866841,,0.13043478260869565,0.8870967741935484
nucl1347,0.025612472160356347,0.564755838641189,0.9955947136563876,0.9994350282485875,1.0,1.0,,0.0068846815834767644,0.0,0.717827626918536,0.6018867924528302,,0.610062893081761,,0.142668428005284,0.0,0.011730205278592375,
