,obj_V_N,obj_V_P,nsubj_V_N,nsubj_V_P,case_N_D,case_PN_D,amod_N_A,nmod_N_N,nmod_N_PN,aux_V_A,adv_V_D,adv_J_D,cop_N_C,cop_J_C,obl_V_N,xcomp_V_V,ccomp_V_V,nsubj_J_N
icel1247,18088.0,9075.0,14560.0,32277.0,38577.0,6833.0,10996.0,5202.0,3106.0,12373.0,38898.0,1803.0,4011.0,3974.0,32832.0,397.0,6448.0,1154.0
iris1253,1650.0,184.0,2659.0,1138.0,11516.0,1002.0,3223.0,6926.0,1373.0,,775.0,103.0,678.0,352.0,4144.0,8.0,397.0,73.0
ital1282,7532.0,1482.0,6983.0,2695.0,29794.0,5203.0,14762.0,15239.0,4403.0,7412.0,5636.0,1603.0,1264.0,1125.0,11816.0,1214.0,1026.0,619.0
nucl1643,4014.0,71.0,4295.0,157.0,30290.0,2627.0,347.0,8518.0,861.0,12734.0,1255.0,283.0,2045.0,,9109.0,,231.0,827.0
komi1268,9.0,,,11.0,,,,,,8.0,7.0,,,,5.0,,,
kore1280,3548.0,45.0,4170.0,214.0,783.0,81.0,764.0,1417.0,23.0,32.0,3523.0,478.0,33.0,,1587.0,,340.0,680.0
latv1249,8508.0,995.0,10317.0,4160.0,9054.0,605.0,10549.0,21282.0,3563.0,3248.0,9294.0,1058.0,1401.0,1182.0,11905.0,3188.0,3429.0,708.0
lith1251,1474.0,160.0,1518.0,291.0,1151.0,28.0,2576.0,5695.0,509.0,,1202.0,227.0,110.0,88.0,2607.0,638.0,199.0,159.0
malt1254,683.0,74.0,589.0,203.0,2077.0,201.0,964.0,981.0,120.0,569.0,522.0,92.0,64.0,49.0,943.0,580.0,206.0,57.0
mara1378,152.0,34.0,170.0,145.0,118.0,7.0,47.0,46.0,,81.0,89.0,10.0,22.0,7.0,107.0,19.0,11.0,7.0
nort2671,790.0,178.0,854.0,788.0,182.0,14.0,472.0,259.0,76.0,795.0,938.0,112.0,206.0,214.0,1049.0,,112.0,91.0
west2369,15404.0,2015.0,14728.0,3607.0,52747.0,3702.0,19480.0,37098.0,6043.0,11520.0,4027.0,611.0,2147.0,2141.0,33977.0,750.0,4200.0,968.0
poli1260,7548.0,1705.0,10000.0,1507.0,23764.0,1874.0,22657.0,17271.0,2332.0,2756.0,5552.0,1669.0,1348.0,1220.0,13653.0,3194.0,1587.0,1364.0
port1283,5804.0,940.0,3855.0,2124.0,17220.0,5410.0,6837.0,8592.0,2405.0,1595.0,3646.0,749.0,824.0,776.0,5095.0,1779.0,849.0,336.0
russ1263,1869.0,173.0,2263.0,536.0,6547.0,769.0,7474.0,6529.0,1178.0,423.0,1008.0,207.0,95.0,57.0,4431.0,423.0,132.0,179.0
slov1268,6410.0,1978.0,5559.0,505.0,15331.0,1572.0,17040.0,11606.0,2423.0,8639.0,5486.0,1762.0,1275.0,2759.0,9425.0,1136.0,1227.0,1347.0
swed1254,2320.0,449.0,2651.0,2243.0,6235.0,309.0,4144.0,2881.0,243.0,1572.0,2100.0,714.0,445.0,638.0,3305.0,272.0,251.0,316.0
tami1289,229.0,17.0,209.0,52.0,113.0,43.0,382.0,484.0,472.0,348.0,192.0,26.0,,,351.0,14.0,88.0,8.0
telu1262,228.0,112.0,191.0,412.0,21.0,11.0,41.0,40.0,,,198.0,,,,273.0,6.0,55.0,
nucl1301,3765.0,546.0,3007.0,530.0,836.0,105.0,3637.0,6968.0,1661.0,68.0,2074.0,607.0,536.0,217.0,5896.0,102.0,839.0,227.0
ukra1253,3070.0,900.0,2588.0,1525.0,6628.0,478.0,6880.0,5255.0,559.0,186.0,2819.0,487.0,231.0,256.0,4463.0,707.0,332.0,388.0
viet1252,1416.0,56.0,913.0,183.0,813.0,99.0,407.0,678.0,195.0,240.0,1002.0,190.0,129.0,10.0,684.0,498.0,132.0,104.0
wels1247,176.0,51.0,526.0,297.0,2495.0,237.0,1285.0,2956.0,474.0,,191.0,105.0,287.0,214.0,383.0,,23.0,62.0
nucl1347,898.0,942.0,454.0,1770.0,899.0,163.0,,581.0,249.0,1694.0,530.0,,159.0,,757.0,536.0,341.0,
